IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.89.80,4,4,0.00,2.35,0.00,N/A
104.25.133.227,4,4,0.00,2.35,0.00,N/A
172.64.82.172,4,4,0.00,2.35,0.00,N/A
104.21.221.175,4,4,0.00,2.35,0.00,N/A
172.67.132.207,4,4,0.00,2.35,0.00,N/A
172.64.38.21,4,4,0.00,2.35,0.00,N/A
104.24.0.220,4,4,0.00,2.36,0.00,N/A
104.25.22.66,4,4,0.00,2.36,0.00,N/A
104.24.247.175,4,4,0.00,2.36,0.00,N/A
172.64.176.223,4,4,0.00,2.37,0.00,N/A
104.27.2.250,4,4,0.00,2.37,0.00,N/A
104.27.33.147,4,4,0.00,2.37,0.00,N/A
104.25.235.2,4,4,0.00,2.38,0.00,N/A
104.25.226.136,4,4,0.00,2.38,0.00,N/A
172.67.185.51,4,4,0.00,2.38,0.00,N/A
172.64.46.133,4,4,0.00,2.38,0.00,N/A
104.24.88.68,4,4,0.00,2.39,0.00,N/A
104.24.29.90,4,4,0.00,2.39,0.00,N/A
104.21.126.104,4,4,0.00,2.39,0.00,N/A
104.21.214.207,4,4,0.00,2.39,0.00,N/A
104.25.208.159,4,4,0.00,2.39,0.00,N/A
104.21.103.71,4,4,0.00,2.40,0.00,N/A
104.24.85.69,4,4,0.00,2.40,0.00,N/A
104.24.13.122,4,4,0.00,2.40,0.00,N/A
104.25.0.91,4,4,0.00,2.40,0.00,N/A
104.24.169.152,4,4,0.00,2.41,0.00,N/A
172.67.141.83,4,4,0.00,2.41,0.00,N/A
172.67.201.38,4,4,0.00,2.41,0.00,N/A
104.27.198.39,4,4,0.00,2.42,0.00,N/A
104.25.204.155,4,4,0.00,2.42,0.00,N/A
172.67.138.76,4,4,0.00,2.42,0.00,N/A
104.21.219.223,4,4,0.00,2.42,0.00,N/A
172.67.193.73,4,4,0.00,2.42,0.00,N/A
104.24.239.212,4,4,0.00,2.42,0.00,N/A
104.25.190.15,4,4,0.00,2.43,0.00,N/A
104.21.85.151,4,4,0.00,2.44,0.00,N/A
104.24.4.63,4,4,0.00,2.44,0.00,N/A
104.24.28.84,4,4,0.00,2.44,0.00,N/A
172.64.42.44,4,4,0.00,2.44,0.00,N/A
104.24.235.164,4,4,0.00,2.44,0.00,N/A
172.67.119.52,4,4,0.00,2.44,0.00,N/A
104.21.234.86,4,4,0.00,2.45,0.00,N/A
172.66.160.55,4,4,0.00,2.45,0.00,N/A
104.25.222.73,4,4,0.00,2.45,0.00,N/A
104.25.233.29,4,4,0.00,2.45,0.00,N/A
104.25.160.138,4,4,0.00,2.46,0.00,N/A
104.21.49.74,4,4,0.00,2.46,0.00,N/A
172.67.172.193,4,4,0.00,2.48,0.00,N/A
104.25.205.231,4,4,0.00,2.48,0.00,N/A
104.21.195.52,4,4,0.00,2.48,0.00,N/A
104.24.14.217,4,4,0.00,2.48,0.00,N/A
172.64.157.26,4,4,0.00,2.48,0.00,N/A
104.24.240.211,4,4,0.00,2.49,0.00,N/A
172.67.194.210,4,4,0.00,2.49,0.00,N/A
104.24.177.111,4,4,0.00,2.50,0.00,N/A
104.24.12.173,4,4,0.00,2.50,0.00,N/A
104.25.1.246,4,4,0.00,2.50,0.00,N/A
104.25.189.202,4,4,0.00,2.50,0.00,N/A
104.24.233.157,4,4,0.00,2.50,0.00,N/A
172.64.50.59,4,4,0.00,2.51,0.00,N/A
104.25.236.58,4,4,0.00,2.51,0.00,N/A
104.24.187.40,4,4,0.00,2.52,0.00,N/A
104.21.199.63,4,4,0.00,2.52,0.00,N/A
172.67.134.228,4,4,0.00,2.52,0.00,N/A
104.27.20.203,4,4,0.00,2.52,0.00,N/A
172.67.228.64,4,4,0.00,2.53,0.00,N/A
104.21.123.252,4,4,0.00,2.53,0.00,N/A
104.21.121.175,4,4,0.00,2.54,0.00,N/A
104.21.54.239,4,4,0.00,2.54,0.00,N/A
104.25.209.1,4,4,0.00,2.54,0.00,N/A
104.21.200.30,4,4,0.00,2.54,0.00,N/A
104.24.92.68,4,4,0.00,2.54,0.00,N/A
104.25.170.240,4,4,0.00,2.54,0.00,N/A
104.25.196.17,4,4,0.00,2.54,0.00,N/A
172.67.71.5,4,4,0.00,2.54,0.00,N/A
104.24.1.13,4,4,0.00,2.54,0.00,N/A
104.21.83.98,4,4,0.00,2.55,0.00,N/A
104.21.206.50,4,4,0.00,2.55,0.00,N/A
104.25.206.110,4,4,0.00,2.55,0.00,N/A
104.27.15.247,4,4,0.00,2.55,0.00,N/A
104.24.33.90,4,4,0.00,2.55,0.00,N/A
104.21.110.63,4,4,0.00,2.55,0.00,N/A
172.66.148.171,4,4,0.00,2.56,0.00,N/A
104.25.113.114,4,4,0.00,2.56,0.00,N/A
104.24.17.81,4,4,0.00,2.56,0.00,N/A
104.25.135.125,4,4,0.00,2.56,0.00,N/A
104.24.10.117,4,4,0.00,2.56,0.00,N/A
104.24.90.219,4,4,0.00,2.56,0.00,N/A
104.21.66.117,4,4,0.00,2.56,0.00,N/A
104.25.202.250,4,4,0.00,2.57,0.00,N/A
104.24.226.128,4,4,0.00,2.57,0.00,N/A
104.27.16.119,4,4,0.00,2.57,0.00,N/A
104.24.32.238,4,4,0.00,2.57,0.00,N/A
172.66.129.165,4,4,0.00,2.57,0.00,N/A
104.25.211.115,4,4,0.00,2.57,0.00,N/A
104.24.79.33,4,4,0.00,2.57,0.00,N/A
104.25.212.97,4,4,0.00,2.58,0.00,N/A
104.27.6.54,4,4,0.00,2.58,0.00,N/A
172.66.152.209,4,4,0.00,2.58,0.00,N/A
104.24.11.14,4,4,0.00,2.59,0.00,N/A
104.25.223.119,4,4,0.00,2.59,0.00,N/A
172.66.204.166,4,4,0.00,2.59,0.00,N/A
104.27.10.31,4,4,0.00,2.59,0.00,N/A
104.25.219.115,4,4,0.00,2.59,0.00,N/A
104.24.249.159,4,4,0.00,2.59,0.00,N/A
104.21.99.95,4,4,0.00,2.59,0.00,N/A
104.21.45.53,4,4,0.00,2.60,0.00,N/A
104.21.194.188,4,4,0.00,2.60,0.00,N/A
104.24.250.92,4,4,0.00,2.60,0.00,N/A
104.25.186.154,4,4,0.00,2.60,0.00,N/A
104.24.3.2,4,4,0.00,2.60,0.00,N/A
104.21.193.154,4,4,0.00,2.60,0.00,N/A
104.21.91.10,4,4,0.00,2.61,0.00,N/A
104.25.197.23,4,4,0.00,2.61,0.00,N/A
104.24.25.64,4,4,0.00,2.61,0.00,N/A
104.24.24.127,4,4,0.00,2.61,0.00,N/A
104.27.19.168,4,4,0.00,2.61,0.00,N/A
172.67.218.229,4,4,0.00,2.61,0.00,N/A
104.25.12.7,4,4,0.00,2.61,0.00,N/A
104.27.192.42,4,4,0.00,2.62,0.00,N/A
172.66.167.129,4,4,0.00,2.62,0.00,N/A
172.67.153.211,4,4,0.00,2.62,0.00,N/A
104.21.201.133,4,4,0.00,2.62,0.00,N/A
104.25.225.45,4,4,0.00,2.63,0.00,N/A
172.67.177.12,4,4,0.00,2.63,0.00,N/A
172.64.155.50,4,4,0.00,2.63,0.00,N/A
104.25.200.201,4,4,0.00,2.63,0.00,N/A
104.21.108.62,4,4,0.00,2.64,0.00,N/A
172.66.155.158,4,4,0.00,2.64,0.00,N/A
104.21.112.70,4,4,0.00,2.64,0.00,N/A
104.21.207.125,4,4,0.00,2.64,0.00,N/A
104.25.184.82,4,4,0.00,2.65,0.00,N/A
104.21.202.14,4,4,0.00,2.65,0.00,N/A
104.25.8.246,4,4,0.00,2.65,0.00,N/A
104.21.122.172,4,4,0.00,2.65,0.00,N/A
172.67.205.194,4,4,0.00,2.65,0.00,N/A
104.24.244.69,4,4,0.00,2.66,0.00,N/A
104.25.198.168,4,4,0.00,2.66,0.00,N/A
172.66.193.211,4,4,0.00,2.66,0.00,N/A
172.67.206.234,4,4,0.00,2.66,0.00,N/A
104.25.221.189,4,4,0.00,2.66,0.00,N/A
104.21.55.237,4,4,0.00,2.67,0.00,N/A
172.67.104.200,4,4,0.00,2.67,0.00,N/A
104.25.165.117,4,4,0.00,2.67,0.00,N/A
104.25.7.28,4,4,0.00,2.68,0.00,N/A
104.25.217.112,4,4,0.00,2.69,0.00,N/A
104.21.118.188,4,4,0.00,2.69,0.00,N/A
104.24.251.69,4,4,0.00,2.69,0.00,N/A
104.25.116.93,4,4,0.00,2.69,0.00,N/A
104.25.5.123,4,4,0.00,2.69,0.00,N/A
172.67.111.8,4,4,0.00,2.69,0.00,N/A
172.67.120.32,4,4,0.00,2.70,0.00,N/A
172.66.161.51,4,4,0.00,2.70,0.00,N/A
104.25.124.3,4,4,0.00,2.71,0.00,N/A
104.24.19.175,4,4,0.00,2.71,0.00,N/A
172.66.174.160,4,4,0.00,2.71,0.00,N/A
172.66.159.16,4,4,0.00,2.71,0.00,N/A
104.24.89.39,4,4,0.00,2.72,0.00,N/A
104.21.204.113,4,4,0.00,2.72,0.00,N/A
104.21.117.190,4,4,0.00,2.72,0.00,N/A
104.21.111.210,4,4,0.00,2.73,0.00,N/A
104.25.109.96,4,4,0.00,2.73,0.00,N/A
104.24.230.240,4,4,0.00,2.73,0.00,N/A
104.27.4.158,4,4,0.00,2.74,0.00,N/A
172.67.200.102,4,4,0.00,2.74,0.00,N/A
104.25.128.235,4,4,0.00,2.75,0.00,N/A
104.24.5.21,4,4,0.00,2.76,0.00,N/A
104.25.125.39,4,4,0.00,2.76,0.00,N/A
172.67.195.170,4,4,0.00,2.77,0.00,N/A
172.67.102.211,4,4,0.00,2.77,0.00,N/A
172.67.86.99,4,4,0.00,2.77,0.00,N/A
104.25.19.11,4,4,0.00,2.77,0.00,N/A
172.66.210.243,4,4,0.00,2.78,0.00,N/A
104.25.129.247,4,4,0.00,2.78,0.00,N/A
172.67.85.135,4,4,0.00,2.79,0.00,N/A
172.66.147.175,4,4,0.00,2.79,0.00,N/A
104.24.227.193,4,4,0.00,2.79,0.00,N/A
104.21.107.93,4,4,0.00,2.79,0.00,N/A
172.67.103.37,4,4,0.00,2.80,0.00,N/A
172.67.174.3,4,4,0.00,2.80,0.00,N/A
104.27.38.86,4,4,0.00,2.80,0.00,N/A
104.21.115.23,4,4,0.00,2.80,0.00,N/A
104.21.38.116,4,4,0.00,2.81,0.00,N/A
172.66.137.177,4,4,0.00,2.81,0.00,N/A
172.64.150.100,4,4,0.00,2.81,0.00,N/A
172.66.140.46,4,4,0.00,2.81,0.00,N/A
172.66.131.239,4,4,0.00,2.81,0.00,N/A
172.67.175.74,4,4,0.00,2.82,0.00,N/A
104.25.207.246,4,4,0.00,2.82,0.00,N/A
104.24.241.234,4,4,0.00,2.82,0.00,N/A
104.21.113.146,4,4,0.00,2.83,0.00,N/A
104.21.57.239,4,4,0.00,2.83,0.00,N/A
172.67.192.35,4,4,0.00,2.83,0.00,N/A
104.27.193.79,4,4,0.00,2.84,0.00,N/A
172.66.202.79,4,4,0.00,2.84,0.00,N/A
172.67.178.140,4,4,0.00,2.84,0.00,N/A
172.67.96.16,4,4,0.00,2.84,0.00,N/A
104.25.232.190,4,4,0.00,2.85,0.00,N/A
104.25.131.221,4,4,0.00,2.86,0.00,N/A
104.24.9.153,4,4,0.00,2.86,0.00,N/A
172.67.199.39,4,4,0.00,2.86,0.00,N/A
104.25.166.225,4,4,0.00,2.86,0.00,N/A
104.25.195.92,4,4,0.00,2.86,0.00,N/A
104.21.74.170,4,4,0.00,2.86,0.00,N/A
104.24.166.226,4,4,0.00,2.86,0.00,N/A
104.24.8.20,4,4,0.00,2.86,0.00,N/A
104.25.220.145,4,4,0.00,2.87,0.00,N/A
104.25.14.66,4,4,0.00,2.88,0.00,N/A
104.25.100.86,4,4,0.00,2.88,0.00,N/A
172.67.108.191,4,4,0.00,2.88,0.00,N/A
104.25.108.88,4,4,0.00,2.89,0.00,N/A
172.67.221.208,4,4,0.00,2.89,0.00,N/A
104.21.120.154,4,4,0.00,2.89,0.00,N/A
172.66.215.210,4,4,0.00,2.90,0.00,N/A
104.21.196.22,4,4,0.00,2.90,0.00,N/A
104.21.106.127,4,4,0.00,2.91,0.00,N/A
104.25.164.127,4,4,0.00,2.91,0.00,N/A
104.25.11.55,4,4,0.00,2.91,0.00,N/A
104.27.23.25,4,4,0.00,2.93,0.00,N/A
104.24.174.146,4,4,0.00,2.93,0.00,N/A
172.64.67.162,4,4,0.00,2.93,0.00,N/A
172.67.227.35,4,4,0.00,2.94,0.00,N/A
172.66.150.57,4,4,0.00,2.94,0.00,N/A
104.21.192.95,4,4,0.00,2.94,0.00,N/A
104.25.130.174,4,4,0.00,2.94,0.00,N/A
104.21.114.197,4,4,0.00,2.95,0.00,N/A
104.21.109.215,4,4,0.00,2.95,0.00,N/A
104.24.232.38,4,4,0.00,2.95,0.00,N/A
172.67.196.114,4,4,0.00,2.96,0.00,N/A
172.66.146.151,4,4,0.00,2.96,0.00,N/A
104.21.197.74,4,4,0.00,2.96,0.00,N/A
104.27.30.128,4,4,0.00,2.97,0.00,N/A
172.66.136.248,4,4,0.00,2.97,0.00,N/A
104.25.167.122,4,4,0.00,2.97,0.00,N/A
104.25.194.200,4,4,0.00,2.98,0.00,N/A
172.66.145.23,4,4,0.00,2.98,0.00,N/A
104.25.56.72,4,4,0.00,2.98,0.00,N/A
172.67.197.7,4,4,0.00,2.98,0.00,N/A
172.67.187.138,4,4,0.00,2.98,0.00,N/A
104.25.55.39,4,4,0.00,2.98,0.00,N/A
104.25.13.217,4,4,0.00,2.99,0.00,N/A
104.27.39.163,4,4,0.00,2.99,0.00,N/A
104.25.10.215,4,4,0.00,3.00,0.00,N/A
104.21.116.163,4,4,0.00,3.00,0.00,N/A
104.25.112.144,4,4,0.00,3.01,0.00,N/A
172.66.201.73,4,4,0.00,3.02,0.00,N/A
172.67.188.131,4,4,0.00,3.02,0.00,N/A
104.25.168.103,4,4,0.00,3.02,0.00,N/A
172.66.200.223,4,4,0.00,3.02,0.00,N/A
104.25.203.158,4,4,0.00,3.03,0.00,N/A
172.66.135.223,4,4,0.00,3.03,0.00,N/A
104.24.205.13,4,4,0.00,3.03,0.00,N/A
172.67.203.22,4,4,0.00,3.03,0.00,N/A
104.24.86.182,4,4,0.00,3.03,0.00,N/A
104.27.25.155,4,4,0.00,3.04,0.00,N/A
172.67.166.248,4,4,0.00,3.04,0.00,N/A
104.25.9.212,4,4,0.00,3.04,0.00,N/A
172.66.132.59,4,4,0.00,3.04,0.00,N/A
172.64.151.240,4,4,0.00,3.05,0.00,N/A
104.25.15.254,4,4,0.00,3.07,0.00,N/A
172.66.130.155,4,4,0.00,3.08,0.00,N/A
172.66.133.52,4,4,0.00,3.08,0.00,N/A
172.67.164.36,4,4,0.00,3.08,0.00,N/A
172.67.109.117,4,4,0.00,3.09,0.00,N/A
104.25.16.222,4,4,0.00,3.09,0.00,N/A
104.27.31.151,4,4,0.00,3.10,0.00,N/A
172.64.147.50,4,4,0.00,3.10,0.00,N/A
172.67.169.24,4,4,0.00,3.10,0.00,N/A
172.67.89.221,4,4,0.00,3.10,0.00,N/A
104.24.185.144,4,4,0.00,3.10,0.00,N/A
104.21.198.230,4,4,0.00,3.11,0.00,N/A
104.25.120.180,4,4,0.00,3.11,0.00,N/A
172.66.158.46,4,4,0.00,3.11,0.00,N/A
104.25.158.106,4,4,0.00,3.11,0.00,N/A
172.67.83.84,4,4,0.00,3.12,0.00,N/A
104.21.67.151,4,4,0.00,3.12,0.00,N/A
104.24.238.183,4,4,0.00,3.12,0.00,N/A
104.25.183.229,4,4,0.00,3.12,0.00,N/A
104.25.126.123,4,4,0.00,3.12,0.00,N/A
172.66.153.196,4,4,0.00,3.13,0.00,N/A
172.67.91.105,4,4,0.00,3.14,0.00,N/A
104.24.173.50,4,4,0.00,3.15,0.00,N/A
172.67.190.4,4,4,0.00,3.15,0.00,N/A
172.66.199.231,4,4,0.00,3.15,0.00,N/A
104.21.63.28,4,4,0.00,3.15,0.00,N/A
104.20.8.227,4,4,0.00,3.16,0.00,N/A
104.25.119.239,4,4,0.00,3.16,0.00,N/A
172.66.142.192,4,4,0.00,3.17,0.00,N/A
104.27.124.190,4,4,0.00,3.18,0.00,N/A
172.64.159.156,4,4,0.00,3.18,0.00,N/A
172.67.94.129,4,4,0.00,3.18,0.00,N/A
104.24.183.23,4,4,0.00,3.19,0.00,N/A
104.24.208.226,4,4,0.00,3.19,0.00,N/A
104.21.64.131,4,4,0.00,3.19,0.00,N/A
104.27.81.118,4,4,0.00,3.19,0.00,N/A
172.66.128.158,4,4,0.00,3.19,0.00,N/A
172.67.184.21,4,4,0.00,3.20,0.00,N/A
172.66.134.101,4,4,0.00,3.20,0.00,N/A
104.25.3.27,4,4,0.00,3.21,0.00,N/A
172.67.93.222,4,4,0.00,3.22,0.00,N/A
104.25.115.241,4,4,0.00,3.22,0.00,N/A
104.24.178.13,4,4,0.00,3.22,0.00,N/A
104.21.56.79,4,4,0.00,3.22,0.00,N/A
172.67.189.10,4,4,0.00,3.23,0.00,N/A
104.24.181.47,4,4,0.00,3.23,0.00,N/A
104.21.59.47,4,4,0.00,3.23,0.00,N/A
104.20.37.66,4,4,0.00,3.24,0.00,N/A
104.20.46.64,4,4,0.00,3.24,0.00,N/A
104.25.201.176,4,4,0.00,3.24,0.00,N/A
172.66.144.167,4,4,0.00,3.24,0.00,N/A
104.21.77.16,4,4,0.00,3.25,0.00,N/A
172.64.152.199,4,4,0.00,3.25,0.00,N/A
104.24.179.118,4,4,0.00,3.25,0.00,N/A
104.21.65.40,4,4,0.00,3.25,0.00,N/A
104.25.147.101,4,4,0.00,3.26,0.00,N/A
104.24.75.215,4,4,0.00,3.26,0.00,N/A
172.67.75.115,4,4,0.00,3.26,0.00,N/A
104.25.151.25,4,4,0.00,3.27,0.00,N/A
104.24.83.7,4,4,0.00,3.27,0.00,N/A
104.24.184.53,4,4,0.00,3.27,0.00,N/A
104.27.54.40,4,4,0.00,3.27,0.00,N/A
104.24.176.74,4,4,0.00,3.27,0.00,N/A
104.21.82.56,4,4,0.00,3.27,0.00,N/A
172.67.214.248,4,4,0.00,3.27,0.00,N/A
104.27.41.117,4,4,0.00,3.28,0.00,N/A
104.27.37.171,4,4,0.00,3.29,0.00,N/A
104.21.119.254,4,4,0.00,3.29,0.00,N/A
104.25.154.29,4,4,0.00,3.29,0.00,N/A
172.67.98.235,4,4,0.00,3.30,0.00,N/A
172.66.212.70,4,4,0.00,3.30,0.00,N/A
104.21.124.62,4,4,0.00,3.30,0.00,N/A
104.25.127.226,4,4,0.00,3.30,0.00,N/A
104.27.7.222,4,4,0.00,3.31,0.00,N/A
104.25.152.145,4,4,0.00,3.32,0.00,N/A
104.27.0.189,4,4,0.00,3.32,0.00,N/A
172.67.161.237,4,4,0.00,3.32,0.00,N/A
172.67.173.208,4,4,0.00,3.33,0.00,N/A
104.27.80.125,4,4,0.00,3.33,0.00,N/A
104.24.64.12,4,4,0.00,3.34,0.00,N/A
104.25.60.140,4,4,0.00,3.34,0.00,N/A
172.64.233.107,4,4,0.00,3.35,0.00,N/A
104.20.0.150,4,4,0.00,3.35,0.00,N/A
104.27.77.47,4,4,0.00,3.35,0.00,N/A
172.66.211.107,4,4,0.00,3.35,0.00,N/A
104.27.26.113,4,4,0.00,3.35,0.00,N/A
104.24.198.21,4,4,0.00,3.36,0.00,N/A
104.25.58.41,4,4,0.00,3.37,0.00,N/A
104.24.234.242,4,4,0.00,3.38,0.00,N/A
104.27.14.54,4,4,0.00,3.38,0.00,N/A
104.25.57.143,4,4,0.00,3.38,0.00,N/A
172.67.95.49,4,4,0.00,3.38,0.00,N/A
104.24.210.95,4,4,0.00,3.39,0.00,N/A
172.67.87.83,4,4,0.00,3.39,0.00,N/A
104.27.22.43,4,4,0.00,3.39,0.00,N/A
104.24.191.45,4,4,0.00,3.40,0.00,N/A
104.20.33.172,4,4,0.00,3.40,0.00,N/A
104.25.161.24,4,4,0.00,3.41,0.00,N/A
104.27.94.55,4,4,0.00,3.41,0.00,N/A
104.21.84.93,4,4,0.00,3.42,0.00,N/A
172.67.186.241,4,4,0.00,3.42,0.00,N/A
172.67.100.224,4,4,0.00,3.43,0.00,N/A
104.27.17.166,4,4,0.00,3.43,0.00,N/A
104.27.13.89,4,4,0.00,3.43,0.00,N/A
172.66.196.124,4,4,0.00,3.43,0.00,N/A
104.21.81.246,4,4,0.00,3.43,0.00,N/A
172.67.198.144,4,4,0.00,3.44,0.00,N/A
104.24.190.136,4,4,0.00,3.44,0.00,N/A
104.21.127.160,4,4,0.00,3.45,0.00,N/A
172.67.159.144,4,4,0.00,3.45,0.00,N/A
172.66.209.12,4,4,0.00,3.45,0.00,N/A
104.21.80.244,4,4,0.00,3.45,0.00,N/A
172.67.101.10,4,4,0.00,3.46,0.00,N/A
104.25.122.172,4,4,0.00,3.47,0.00,N/A
104.27.40.225,4,4,0.00,3.47,0.00,N/A
172.67.176.104,4,4,0.00,3.48,0.00,N/A
172.67.78.62,4,4,0.00,3.49,0.00,N/A
104.24.77.200,4,4,0.00,3.50,0.00,N/A
104.24.195.146,4,4,0.00,3.50,0.00,N/A
104.24.209.86,4,4,0.00,3.50,0.00,N/A
104.24.207.139,4,4,0.00,3.51,0.00,N/A
104.25.149.53,4,4,0.00,3.51,0.00,N/A
172.66.207.87,4,4,0.00,3.52,0.00,N/A
104.21.105.141,4,4,0.00,3.52,0.00,N/A
104.24.199.201,4,4,0.00,3.52,0.00,N/A
172.66.197.108,4,4,0.00,3.52,0.00,N/A
172.67.90.189,4,4,0.00,3.53,0.00,N/A
104.21.68.75,4,4,0.00,3.55,0.00,N/A
104.24.201.226,4,4,0.00,3.55,0.00,N/A
104.27.28.74,4,4,0.00,3.56,0.00,N/A
172.67.70.34,4,4,0.00,3.56,0.00,N/A
104.24.82.167,4,4,0.00,3.56,0.00,N/A
104.25.162.242,4,4,0.00,3.56,0.00,N/A
172.64.149.56,4,4,0.00,3.57,0.00,N/A
104.27.86.68,4,4,0.00,3.57,0.00,N/A
104.27.35.215,4,4,0.00,3.58,0.00,N/A
104.21.125.130,4,4,0.00,3.58,0.00,N/A
104.20.29.182,4,4,0.00,3.59,0.00,N/A
104.27.34.204,4,4,0.00,3.60,0.00,N/A
104.24.204.229,4,4,0.00,3.61,0.00,N/A
172.67.171.32,4,4,0.00,3.61,0.00,N/A
104.24.172.90,4,4,0.00,3.61,0.00,N/A
104.21.98.131,4,4,0.00,3.62,0.00,N/A
104.21.96.142,4,4,0.00,3.62,0.00,N/A
104.24.76.156,4,4,0.00,3.64,0.00,N/A
172.66.206.74,4,4,0.00,3.64,0.00,N/A
104.24.182.173,4,4,0.00,3.64,0.00,N/A
172.67.81.87,4,4,0.00,3.64,0.00,N/A
172.67.222.52,4,4,0.00,3.65,0.00,N/A
104.25.123.146,4,4,0.00,3.65,0.00,N/A
104.24.80.4,4,4,0.00,3.66,0.00,N/A
104.20.14.78,4,4,0.00,3.66,0.00,N/A
104.24.243.84,4,4,0.00,3.67,0.00,N/A
104.21.79.160,4,4,0.00,3.67,0.00,N/A
172.67.80.145,4,4,0.00,3.67,0.00,N/A
172.67.74.209,4,4,0.00,3.68,0.00,N/A
104.21.100.111,4,4,0.00,3.68,0.00,N/A
172.67.182.50,4,4,0.00,3.68,0.00,N/A
104.21.97.162,4,4,0.00,3.68,0.00,N/A
104.24.170.150,4,4,0.00,3.68,0.00,N/A
104.24.200.218,4,4,0.00,3.68,0.00,N/A
172.66.46.29,4,4,0.00,3.69,0.00,N/A
104.21.88.22,4,4,0.00,3.69,0.00,N/A
104.21.95.61,4,4,0.00,3.69,0.00,N/A
104.24.180.127,4,4,0.00,3.70,0.00,N/A
104.24.50.48,4,4,0.00,3.70,0.00,N/A
104.19.55.11,4,4,0.00,3.70,0.00,N/A
172.64.153.249,4,4,0.00,3.71,0.00,N/A
104.19.72.205,4,4,0.00,3.71,0.00,N/A
172.66.205.19,4,4,0.00,3.71,0.00,N/A
104.20.36.233,4,4,0.00,3.71,0.00,N/A
104.24.171.225,4,4,0.00,3.72,0.00,N/A
104.20.27.60,4,4,0.00,3.72,0.00,N/A
104.27.18.67,4,4,0.00,3.72,0.00,N/A
172.66.208.73,4,4,0.00,3.72,0.00,N/A
172.67.84.32,4,4,0.00,3.72,0.00,N/A
104.25.121.22,4,4,0.00,3.73,0.00,N/A
104.25.53.219,4,4,0.00,3.73,0.00,N/A
104.25.51.41,4,4,0.00,3.74,0.00,N/A
172.66.195.96,4,4,0.00,3.74,0.00,N/A
104.21.60.224,4,4,0.00,3.74,0.00,N/A
104.25.47.89,4,4,0.00,3.74,0.00,N/A
104.21.73.22,4,4,0.00,3.75,0.00,N/A
104.19.30.158,4,4,0.00,3.75,0.00,N/A
172.67.92.165,4,4,0.00,3.76,0.00,N/A
104.25.50.62,4,4,0.00,3.77,0.00,N/A
104.21.93.159,4,4,0.00,3.77,0.00,N/A
104.27.12.57,4,4,0.00,3.77,0.00,N/A
104.21.94.173,4,4,0.00,3.77,0.00,N/A
104.24.206.201,4,4,0.00,3.78,0.00,N/A
104.24.193.14,4,4,0.00,3.78,0.00,N/A
104.20.34.57,4,4,0.00,3.79,0.00,N/A
104.19.51.9,4,4,0.00,3.79,0.00,N/A
172.64.145.241,4,4,0.00,3.79,0.00,N/A
104.21.104.114,4,4,0.00,3.79,0.00,N/A
104.24.74.64,4,4,0.00,3.80,0.00,N/A
172.67.223.124,4,4,0.00,3.80,0.00,N/A
172.66.43.233,4,4,0.00,3.81,0.00,N/A
172.66.45.132,4,4,0.00,3.82,0.00,N/A
104.24.203.184,4,4,0.00,3.82,0.00,N/A
104.21.75.167,4,4,0.00,3.82,0.00,N/A
104.20.39.12,4,4,0.00,3.83,0.00,N/A
104.19.26.1,4,4,0.00,3.83,0.00,N/A
104.27.109.110,4,4,0.00,3.85,0.00,N/A
104.20.16.111,4,4,0.00,3.85,0.00,N/A
172.66.198.19,4,4,0.00,3.86,0.00,N/A
172.64.144.201,4,4,0.00,3.86,0.00,N/A
104.21.101.222,4,4,0.00,3.86,0.00,N/A
104.18.234.179,4,4,0.00,3.87,0.00,N/A
104.19.22.59,4,4,0.00,3.87,0.00,N/A
104.21.76.101,4,4,0.00,3.88,0.00,N/A
104.27.51.83,4,4,0.00,3.88,0.00,N/A
172.66.203.82,4,4,0.00,3.88,0.00,N/A
172.65.173.201,4,4,0.00,3.89,0.00,N/A
104.27.119.229,4,4,0.00,3.90,0.00,N/A
104.21.72.142,4,4,0.00,3.90,0.00,N/A
104.27.59.169,4,4,0.00,3.91,0.00,N/A
172.67.82.88,4,4,0.00,3.91,0.00,N/A
104.19.47.136,4,4,0.00,3.92,0.00,N/A
172.67.79.218,4,4,0.00,3.93,0.00,N/A
104.27.121.93,4,4,0.00,3.93,0.00,N/A
104.25.54.137,4,4,0.00,3.93,0.00,N/A
104.24.196.50,4,4,0.00,3.93,0.00,N/A
172.67.217.195,4,4,0.00,3.93,0.00,N/A
104.20.32.174,4,4,0.00,3.93,0.00,N/A
172.67.219.149,4,4,0.00,3.93,0.00,N/A
104.24.168.116,4,4,0.00,3.94,0.00,N/A
104.27.49.180,4,4,0.00,3.95,0.00,N/A
104.19.108.43,4,4,0.00,3.95,0.00,N/A
104.19.54.142,4,4,0.00,3.95,0.00,N/A
104.25.49.185,4,4,0.00,3.95,0.00,N/A
104.19.223.155,4,4,0.00,3.95,0.00,N/A
104.19.41.245,4,4,0.00,3.96,0.00,N/A
104.21.78.59,4,4,0.00,3.97,0.00,N/A
172.67.69.64,4,4,0.00,3.97,0.00,N/A
172.67.67.61,4,4,0.00,3.97,0.00,N/A
104.27.104.113,4,4,0.00,3.98,0.00,N/A
172.64.234.161,4,4,0.00,3.98,0.00,N/A
104.27.112.185,4,4,0.00,3.98,0.00,N/A
